text,label
Wind风控日报数据显示，据经济观察网，在2020年，共有4家上市股份行的利润实现负增长，为民生银行、浦发银行、浙商银行和华夏银行。拉长时间来看，除了渤海银行在2018年净利润下滑，这是近十年来，上述四家银行首次出现净利润增速为负的情况。,-1
澳门4月份幸运博彩毛收入84.01亿澳元，同比增长1014.4%；1-4月份幸运博彩毛收入320亿澳元，同比增长2.6%。,1
反垄断风暴袭来！9张罚单落下，腾讯等多家企业被罚,-1
券商五月金股名单出炉，后市怎么走？,0
巴菲特2021年股东大会前瞻：疫情下的那些变与不变,0
①中央政治局会议要求保持经济运行在合理区间②方正集团重整方案揭晓，平安最高出资508亿元受让股权③注册制并购重组规则再完善④平安、方正两券商合并传闻再起。,0
周五欧美股市多数收跌，美股银行、芯片、能源等板块悉数下跌，知名中概股多数下跌。,-1
本周，欧美股市涨跌互现，美股本周整体回落，欧股本周多数上涨。,0
4月份，欧美股市全线收涨，道指本月涨2.71%，纳指本月上涨5.4%。,1
瑞信下调百度目标价至356美元,-1
蔚来由跌转涨,1
中国平安(02318)进一步深化医疗健康产业战略布局 平安人寿拟370.5-507.5亿元受让新方正集团51.1%-70%的股权,0
中天顺联(00994.HK)与浙江顺联订立谅解备忘录(格隆汇),0
中海重工(00651)：认购协议失效 继续停牌,-1
拉夏贝尔(06116)：邢加兴不再为公司主要股东,0
宝色股份回复问询函称，公司，本年度对应收账款 的计提减值 是充分、合理的。,0
航天宏图表示，公司2021年一季度新增订单大约是2.3亿，加上2020年的约6亿订单，现在在手订单规模约8亿，地方订单占比70%。特种领域和民方订单一季度较淡，二季度或者三、四季度会有更快的增长。,1
4月A股总市值增长1.85万亿元，截至3月末投资者数为18395.61万户，以此计算4月投资者人均赚了逾1万元。4月最牛个股热景生物4月累计上涨425.64%，锦泓集团累计上涨142%，金发拉比、旗天科技、小康集团均涨逾100%。,1
相较于核心资产大幅回调使得仅有3成主动偏股型基金获正收益的一季度，4月有超6成主动偏股型基金业绩收益率为正。,1
全球主要股市4月大涨。,1
下周公布美国非农数据或透露目前复苏力度究竟有没有达到市场预期，以及乐观情绪是否可以掩盖对通胀、供应链等问题担忧。,-1
赢合科技回复深交所年报问询函，就口罩机业务期后退货事项作出说明。赢合科技称，公司与德宏滔阳、克森商贸等5名客户签订合同具有真实性。5名客户在退货协议签订后退货，公司于3月8日对退货口罩机进行入库。退货补偿金额已从客户前期支付的款项中扣除。,-1
美尚生态公告称，股票被实施退市风险警示叠加其他风险警示，股票简称由“美尚生态”变更为“*ST美尚”；5月6日开市起停牌1天。,-1
ESG能给长期投资带来竞争力,1
117亿美元！伯克希尔一季度净利远超预期，花66亿美元回购,1
苹果“摊上事”了！欧盟首次发起反垄断诉讼：罚金或高达千亿,-1
日均净赚47亿元！A股银行年报图鉴：38家银行净利润成功止跌微增0.6%，超半数不良率同比下降,1
天价学区房要凉？中央点名，北京放大招，18家机构被查处，重拳调控要来了吗？,-1
摩通：下调中国铁塔(0788.HK)目标价至1.35港元评级“中性”,-1
增收不增利！博汇科技去年盈利下滑近一成,-1
【预警】Wind风控日报数据显示，惠誉报告称，维持将首创环境控股有限公司2021年9月到期的3亿美元票据的“BBB”评级于负面评级观察名单，母公司北京首都创业集团有限公司为该票据提供维好协议及股权购买承诺。,-1
中概股3分钟|热门中概股涨跌不一，区块链股集体下挫！,-1
常熟农商银行：黑马失色、利润负增1.23%，资本市场频频遇冷,-1
产经报道丨从“扬子江药业被罚7.64亿”看：“行业默契”控销模式或涉垄断，医药行业“反垄断”从原料药扩展至制剂领域,-1
【行情】阿里巴巴港股跌超2%，五矿发展与阿里巴巴合营公司遭反垄断立案调查,-1
【预警】Wind风控日报数据显示，温氏股份收关注函，要求结合公司历史经营数据与未来变动预期、市场环境变化、行业及主营业务发展、在手订单等，详细说明业绩考核指标的确定依据及其科学性、合理性，是否符合公司的实际情况以及《上市公司股权激励管理办法》第十一条的相关规定。,-1
【预警】【Wind风控日报】①特斯拉回应产品安全问题②五矿发展与阿里巴巴合营公司遭反垄断调查③热景生物、北汽蓝谷提示股票交易风险④“18中融新大MTN002”未按期偿付利息。,-1
国瑞置业营收净利双降 发债利率高达14.5%信用评级被下调,-1
特斯拉市值19日蒸发逾240亿美元,-1
建滔集团(00148.HK)遭主席张国荣减持20万股,-1
美股三大指数全线收跌纳指跌近1%,-1
美国联合航空(UAL.US)Q1载客量同比下降54%，净亏损14亿美元 ,-1
又有白酒股遭重要股东减持,-1
业绩连跌 莎普爱思能摆脱滴眼液单品依赖吗,-1
金圆股份(000546.SZ)2020年净利降5.72%至4.74亿元拟10派0.6元,-1
保利协鑫能源(03800)年度未经审核亏损62.54亿元 继续停牌,-1
*ST辉丰称控股子公司失控 子公司总经理：双方正打官司,-1
偷你信息！高德地图、搜狗输入法等33款App被通报,-1
华创交运*业绩点评 春秋航空：扣除春航日本减值因素20年盈利1.4亿，Q1受春运影响亏损2.9亿，看好公司有望演绎龙头扩张逻辑(华创交运与供应链研究),-1
小康股份控股股东信披违规 原董事长被证监会警告罚款,-1
同时也有三家券商自营收入为负，另有21家自营收入均比同期减少。,-1
国泰君安一季度自营收入达到41.22亿元，相比去年的8028万暴增了50倍，海通证券则以近50亿的投资收益排在首位,1
利空因素消退 港股新能源发电板块前景向好,1
2016中国经济六大猜想,0
2016全球经济展望,0
2016基金管理人备案新政策,0
2016山东事业单位公基备考：经济学之怎样生产的..,0
2016年江西省经济社会发展专项研究课题招标公告,0
108份年报曝光“国家队”三大主力四季度动向： 三成减持 两成增持,0
61家上市公司贴“虚拟现实”标签,0
6月人民币实际有效汇率略降,0
8月全球芯片销售达205亿美元 2年后1G闪存8美元,0
A股低开高走温和反弹 创业板指数逆势收跌,0
A股低开高走温和反弹　创业板指数逆势收跌,0
A股掀最强监管风暴 公安部证监会齐出手,0
A股注册制下审什么？信息披露将成重中之重,0
DJ 澳大利亚股市小幅走高，盘中走势震荡,0
FT社评：油价只会有限反弹,0
GO Markets高汇：油价先跌后涨，风险资产走势跌宕,0
GQY视讯：今天业绩预期不利，只是暂时阻挡上涨步伐。周、月、季的技术指标趋势良好！,1
GQY视讯：北京网友  发表于 2015-12-22 14:15:53和别的股相比，目前也就是个补涨，而且还补涨不到位，这段时间看看其他股都涨多少了，我别的股都赚不少，就这个货，到今天拉个涨停也才平盘。,0
GQY视讯：周五下午 大盘跳水了 这股 逆势走强 有大资金进入 尾盘集合 抢筹GQY视讯： 虚拟现实概念 + 自平衡救护平台这2个概念 就要高开 开盘,0
GQY视讯：尾盘少量单子大幅拉升，然后出货，是典型手法啊,0
NFX品汇国际:美元冲高回落,0
P2P线上产品能做私募基金备案吗,0
TMG外汇平台:英镑继续看空，美元表现稳定,0
三大外资行股表现各异 机构建议以反弹心态看待,0
中国7月减持美债幅度 创近两年单月最大,0
中国副财长：人民幣汇率需保持稳定,0
中国经济再平衡影响世界经济复苏,0
中国经济：复苏延迟vs.“L”型增长,0
"中央政治局强调保持经济在合理区间,做好重点领域..",0
中期期指震荡偏强概率加大 短期弱反弹走势延续,0
中航证券：指数上攻弱化 短线关注低位补涨股,0
中金：基本面不支持人民币大幅贬值,0
人民币窄幅整理微跌，G20财长会议在即汇价持稳,0
亿资石油：多头反扑受阻 回调蓄势待发,0
从聚美低价私有化看中概股回归潮,0
佳兆业债券持有提出新债务重组方案,0
佳兆业宣布完成333.2亿元境内债务重组,0
信托公司财富管理新特点：关注全球资产配置,0
债市弹簧市 10年期国债收益率在2.8%-3.4%波动,0
全民囤现金使1万日元纸币走俏 日本人显然看空经济,0
决策分析：卡尼QE暗示害苦英镑 避险情绪回潮助长..,0
冻产协议遇冷 库存再创新高 油价临近30美元/桶,0
分享也是一种经济,0
创业服务平台FellowPlus完成A轮1800万人民币融资,0
创业板强劲反弹夺回大部分失地收跌0.65%,0
创业板指数险守2200点,0
利空因素消退 港股新能源发电板块前景向好,0
券商悄然抬高新三板门槛 最严标准接近IPO要求,0
券商系P2P平台 资产投向端调查,0
午评：断头侧刀终结反弹，耐心等待下一次机会,0
午评：棉花暴跌创新低 聚丙烯领涨商品,0
华夏基金闪击战 最快下周港售,0
华盛金道：加息观点不一 通胀仍是关键,0
华立科技新三板挂牌上市,0
华讯午评:题材股震荡回调 多头上演＂空城计＂,0
华银电力变卖资产实现扭亏 大幅盈利持续性待考,0
南京证券：上证考验十日线 午后跌势望趋缓,0
博世科：等大盘企稳在复牌吧，大盘企稳之前就一直停着就好，,0
博世科：股市有风险，入市需谨慎！,0
博世科：长期看好不代表不跌短线不改弱势震荡,0
"原油先跌后反弹,股市跟随上演""过山车""",0
友邦保险2015财年新业务价值增长26% 受股市拖累..,0
名博午后看市:节后反弹结束 短线机会在哪,0
和创科技启示：公司上市要这“三靠谱”,0
外运发展：中国外运长航集团筹划战略重组,0
大同煤业26日起停牌 拟筹划资产重组事项,0
大同煤业剥离不良资产自救 日后再择机转回,0
大同煤业筹划资产重组事项，明起停盘,0
宁波海顺：上涨不亢奋 下跌不悲观,0
摩根资管：暂未见外汇管制影响南下基金销售,0
杜景中:股市油价趴窝难涨 助推黄金避险反弹,0
林采宜:自由浮动是人民币汇率长远目标,0
查显示我国小微企业纳税负担超过上市公司,0
标普500指数扳回跌幅，道指基本持平,0
汇丰屈宏斌：5月PMI初值回升  经济仍有下行风险,0
汇丰控股业绩逊色 高盛继续看好大摩吁减持,0
汇兑亏损累业绩 玖纸：外汇风险基本消除,0
汇率波动,0
汇金成立全资子公司 受让汇金所持7股逾53亿A股,0
沃尔沃新款V40雷神附体 6月上市,0
沪指低开跌0.46% 跌破2900点,0
沪深大盘温和反弹　创业板表现依然疲弱,0
法兴：镑/美疲软，英镑加权贸易指数仍强劲,0
法国想要Google补交17.6亿美元的税,0
法国政府或要求谷歌补缴17.6亿美元税款,0
法国欲令谷歌补交16亿欧元税款,0
法媒：G20上海会议聚焦全球经济放缓问题,0
注册资产管理公司的条件和费用,0
浙江富润拟12亿收购泰一指尚100%股权 “押宝”数..,0
浦丹光电新三板挂牌上市,0
海富通基金戴德舜：“保障”是养老基金本源,0
海沧口岸去年进口啤酒1.42亿美元,0
海纳川两条腿“急行军”:零部件板块拟年内上市,0
海通荀玉根：十年一片天 产业周期跨越股市牛熊,0
海马互联运动轿车-M6上市 6.98万元起售,0
消息称时代公司有意收购雅虎核心资产,0
涪陵电力重组拟3.7亿元整合节能服务业务资产,0
港交所：提双重股权架构文件与阿里无关,0
港企华人置业售500亿港元资产 内地物业已清空,0
港汇转强 港股报复反弹538点,0
港股连升3日成交减  A股明复市左右大局,0
湖南省发展改革委召开绿色债券申报工作交流会,0
滴滴出行计划募资10亿美元 估值将超200亿,0
火岩控股计划下月18创业板掛牌,0
点融网：正计划下轮融资 暂无上市时间,0
热点学校“随机派位”才是将学区房“套牢”的空头主力,0
热点学校“随机派位”才是将学区房“套牢”的空头主力(图),0
焦炭下跌幅度较去年会收窄,0
沥青暴跌2.65%,-1
煤炭持续大涨,1
"牛熊榜:澳元/日元低位徘徊,若上破82有望看涨",0
特里不愿为钱来中超 拒绝年薪2000万英镑邀约,0
美联储官员信心不改美元指数小幅回落,0
黄金1236可入场做空 突破1240才会追多,0
环保核查：企业上市的必过坎,0
玻璃期货1605合约小幅回落 短线呈现强势震荡走势,0
玻璃期货主力在部分多头获利了结的作用下日内减..,0
甲醇均线系统多头排列 短期调整,0
申请成为基金业协会会员,0
电盈变招私有化Sunday 欲19.43亿收购主要资产,0
百位学者调研：四分之三专家认为今年会降息,0
省域经济综合竞争力发展呈“软动力”趋强等特点(图),0
省政府与新希望集团嘉实基金战略合作 李强见证签约,0
看它能否在美国上市，就知道中国公司行不行,0
"短线要守住1,270美元",0
短线观点：抛售韩元？,0
社交网络的关系储蓄,0
社保基金该不该进股市？,0
福州回收手机，哪里高价回收二手手机，苹果手机回收,0
福州回收电脑，高价回收二手笔记本电脑,0
福汇（FXCM）：美股凭藉油价日内反转，镑/美跌破..,0
私募基金备案对法律行业的新机遇、新挑战,0
私募基金牌照//流程,0
私募基金牌照转让,0
科技界最大併购：戴尔670亿美元收购易安信,0
穆迪：宽松信贷环境将人民币债券发行集中于境内..,0
穷会致病！美研究称经济困难可导致身体疼痛,0
第三方基金解海润及联合光伏纠纷 背后信达系身影..,0
索尼3月15日将召开发布会:PS VR游戏头盔上市在即,0
紧抓两会关注焦点 布局中长线主题基金,0
纯广告：《SEO实战密码》第3版上市,0
纽约原油周五收涨1.2%，1月累计大跌9.2%,0
纽约股市三大股指26日涨跌互现,0
终止重组公司暴涨揭秘：B计划,0
经济下行期的信贷大增或将成为常态,0
经济困境原因何在？问题出在华尔街，根子却是美..,0
经济学家为什么挨骂？,0
网秦公布出售飞流100%股权 甘肃皇台酒业接盘,0
美/日惊现V型反转 沪指却见午盘大“跳水”,0
美元兑日元空头力度不减，刷新一周低位至117.70,0
美元止涨 沪锡反弹近3%后市横盘整理,0
美元走低 原油期货周五大幅收高,0
美前财长：各界不要盲目对人民币“指手画脚”,0
美国WTI油价跌幅收窄至1.49%，报31.67美元/桶,0
美国减息会成为下只黑天鹅？,0
美国拍卖2年期国债，收益率0.752%，认购比率2.91,0
美国第三次量化宽松笼罩世界经济,0
美国财长：中国应明确指出“人民币不会大规模贬..,0
美国财长：中国应明确指出人民币不会大规模贬值,0
美媒看香港天价吉利数字车牌：股市越差车牌越贵,0
美联储两个杠杆利率如何支持债券股市,0
美联储加息错了吗,0
美联储威廉姆斯：美联储将循序渐进地加息,0
美联储布拉德：2015年12月进行首次加息令美国出..,0
美联储布拉德：加息取决于经济数据，不要猜测次数,0
美股周三低开高走 纳指收涨0.87%,0
"美股周二小幅低开, 继续关注油价变动",0
美银美林：欧洲央行3月会议后宜逢低买入欧元,0
美银美林：重申友邦买入评级 看58元,0
联储局以国债负利率进行压力测试的启示,0
肖钢任内牛熊市轮回 A股行情跌宕创多项纪录,0
肖风掌舵浙商基金近一年 管理层低调大换血,0
股东减持与股价相关性不大,0
股市“维稳”须明确注册制时间表,0
股市周评：沪深股市回调　两融余额继续下降,0
股市震荡 避险新买盘推升黄金上涨,0
股市风险仍待释放 长期看好新兴成长股,0
股权之争烽烟四起 万科预计30天内披露重组方案,0
航空公司断票代生路：取消销售佣金 90%或被清退,0
艺术品基金掌舵人 如何玩转“玉米地游戏”,0
艾丰经济发展研究院成立 厉以宁等为顾问,0
芝加哥农产品期价25日涨跌不一,0
花旗107只窝轮及牛熊证暂停交易,0
花旗“割肉”OneMain,0
花旗微降新世界目標价至11.82元,0
花旗料建行明年发优先股 目标价7.8元,0
花旗新掌门任重而道远,0
