代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),换手率(%),A股流通市值(元),B股流通市值(元),总市值(元),A股流通股本(股),B股流通股本(股),总股本(股),市盈率,市净率,市销率,市现率
000002.SZ,万科A,20110104,5.98,6.02,6.53,5.99,6.40,188816123,1645667096,0.42,7.0560,1.9544,85015831754,11093078729,96757849918,9660889972,1314955468,10995210218,17.143,2.4036,1.9079,7.3894
000002.SZ,万科A,20110105,6.40,6.38,6.53,6.28,6.42,125616280,1112759052,0.02,0.3409,1.3003,85305658453,10917816994,97087706225,9660889972,1314955468,10995210218,17.2015,2.4118,1.9144,7.4146
000002.SZ,万科A,20110106,6.42,6.46,6.53,6.32,6.43,79128446,700203401,0.01,0.1133,0.8191,85402267352,11109351303,97197658327,9660889972,1314955468,10995210218,17.221,2.4145,1.9166,7.423
000002.SZ,万科A,20110107,6.43,6.43,6.69,6.39,6.47,144721563,1307916211,0.04,0.5656,1.4980,85885311851,11445730061,97747418838,9660889972,1314955468,10995210218,17.3184,2.4282,1.9274,7.465
000002.SZ,万科A,20110110,6.47,6.55,6.69,6.31,6.36,129046684,1157447405,-0.11,-1.6873,1.3358,84436178355,11245986485,96098137305,9660889972,1314955468,10995210218,17.0261,2.3872,1.8949,7.339
000002.SZ,万科A,20110111,6.36,6.31,6.66,6.28,6.57,134731238,1207748263,0.21,3.3181,1.3946,87237836447,11353468315,99286748269,9660889972,1314955468,10995210218,17.5911,2.4664,1.9578,7.5825
000002.SZ,万科A,20110112,6.57,6.58,6.79,6.47,6.60,135521972,1235577390,0.03,0.4430,1.4028,87624272046,11227110825,99726556677,9660889972,1314955468,10995210218,17.669,2.4774,1.9665,7.6161
000002.SZ,万科A,20110113,6.60,6.63,6.65,6.47,6.50,58795894,529515505,-0.09,-1.4333,0.6086,86368356350,11310035993,98297179349,9660889972,1314955468,10995210218,17.4158,2.4418,1.9383,7.5069
000002.SZ,万科A,20110114,6.50,6.49,6.63,6.44,6.58,88532157,794536991,0.08,1.2304,0.9164,87431054247,11267366083,99506652473,9660889972,1314955468,10995210218,17.6301,2.4719,1.9621,7.5993
000002.SZ,万科A,20110117,6.58,6.50,6.56,6.06,6.12,119826663,1032312443,-0.46,-6.9613,1.2403,81344693564,11145168060,92579670036,9660889972,1314955468,10995210218,16.4028,2.2998,1.8255,7.0703
000002.SZ,万科A,20110118,6.12,6.12,6.22,6.02,6.07,64487440,542945305,-0.05,-0.8314,0.6675,80668431266,11186580216,91810005320,9660889972,1314955468,10995210218,16.2664,2.2807,1.8104,7.0115
000002.SZ,万科A,20110119,6.07,6.08,6.23,5.99,6.21,94678360,793973382,0.14,2.2754,0.9800,82504000361,11217357932,93899095262,9660889972,1314955468,10995210218,16.6365,2.3326,1.8515,7.1711
000002.SZ,万科A,20110120,6.21,6.18,6.18,5.91,5.92,82965364,686728102,-0.29,-4.6838,0.8588,78639644372,11137541318,89501011175,9660889972,1314955468,10995210218,15.8573,2.2233,1.7648,6.8352
000002.SZ,万科A,20110121,5.92,5.94,6.31,5.91,6.10,89539107,750749094,0.17,2.9484,0.9268,80958257965,11140386356,92139861627,9660889972,1314955468,10995210218,16.3248,2.2889,1.8169,7.0367
000002.SZ,万科A,20110124,6.10,6.10,6.28,5.93,6.15,74292486,622616308,0.05,0.8353,0.7690,81634520263,10853171153,92909526342,9660889972,1314955468,10995210218,16.4612,2.308,1.832,7.0955
000002.SZ,万科A,20110125,6.15,6.11,6.29,6.07,6.18,49167141,418022514,0.03,0.4734,0.5089,82020955862,10723236984,93349334751,9660889972,1314955468,10995210218,16.5391,2.3189,1.8407,7.1291
